name,part_url,price,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio
Acer Nitro ED270U S3,https://pcpartpicker.com/product/qJ7MnQ/acer-nitro-ed270u-s3-270-2560-x-1440-180-hz-curved-monitor-ed270u-s3,,27,"2560,1440",180,,VA,16:9
MSI PRO MP252 E2,https://pcpartpicker.com/product/YnXMnQ/msi-pro-mp252-e2-245-1920-x-1080-120-hz-monitor-pro-mp252-e2,111.99,24.5,"1920,1080",120,4,IPS,16:9
Sceptre E275W-1920,https://pcpartpicker.com/product/NwrcCJ/sceptre-monitor-e275w1920,,27,"1920,1080",60,5,,16:9
Asus TUF Gaming VG30VQL1A,https://pcpartpicker.com/product/qkKKHx/asus-tuf-gaming-vg30vql1a-295-2560-x-1080-200-hz-curved-monitor-vg30vql1a,,29.5,"2560,1080",200,,VA,21:9
HP OMEN X Emperium 65,https://pcpartpicker.com/product/mmtQzy/hp-omen-x-emperium-65-650-3840x2160-144-hz-monitor-4wy70aaaba,,65,"3840,2160",144,4,VA,16:9
INNOCN 49C1R,https://pcpartpicker.com/product/pr7MnQ/innocn-49c1r-490-5120-x-1440-120-hz-curved-monitor-49c1r,644.99,49,"5120,1440",120,,VA,32:9
ViewSonic VX2718-2KPC-MHD,https://pcpartpicker.com/product/D23gXL/viewsonic-vx2718-2kpc-mhd-270-2560x1440-165-hz-curved-monitor-vx2718-2kpc-mhd,179.99,27,"2560,1440",165,5,VA,16:9
ViewSonic VX3218-PC-MHD,https://pcpartpicker.com/product/FDzhP6/viewsonic-vx3218-pc-mhd-320-1920x1080-165-hz-curved-monitor-vx3218-pc-mhd,188.95,32,"1920,1080",165,6,VA,16:9
MSI Optix G27C4,https://pcpartpicker.com/product/m8jNnQ/msi-optix-g27c4-270-1920x1080-165-hz-monitor-optix-g27c4,,27,"1920,1080",165,,VA,16:9
AOC C24G1A,https://pcpartpicker.com/product/bJyH99/aoc-c24g1a-236-1920-x-1080-165-hz-curved-monitor-c24g1a,218.99,23.6,"1920,1080",165,,VA,16:9
Acer Predator X34,https://pcpartpicker.com/product/WDcMnQ/acer-monitor-umcx1aa002,,34,"3440,1440",100,4,IPS,21:9
MSI Optix MAG27CQ,https://pcpartpicker.com/product/p4WfrH/msi-optix-mag27cq-270-2560x1440-144-hz-monitor-optix-mag27cq,,27,"2560,1440",144,1,VA,16:9
HP X27q,https://pcpartpicker.com/product/cB3gXL/hp-x27q-270-2560x1440-165-hz-monitor-2v7u5aaabu,,27,"2560,1440",165,1,IPS,16:9
Samsung Odyssey G32A,https://pcpartpicker.com/product/MwfnTW/samsung-odyssey-g32a-320-1920x1080-165-hz-monitor-ls32ag320nnxza,241,32,"1920,1080",165,,VA,16:9
Dell Alienware AW3420DW,https://pcpartpicker.com/product/6MFKHx/alienware-aw3420dw-341-3440-x-1440-120-hz-curved-monitor-aw3420dw,890,34.1,"3440,1440",120,2,IPS,21:9
MSI Pro,https://pcpartpicker.com/product/QZXV3C/msi-pro-270-1920-x-1080-100-hz-monitor-pro-mp273a,,27,"1920,1080",100,4,IPS,16:9
Acer XB271HU bmiprz,https://pcpartpicker.com/product/ttnG3C/acer-monitor-xb271hubmiprz,,27,"2560,1440",165,4,IPS,16:9
Gigabyte GS27QC,https://pcpartpicker.com/product/gVmNnQ/gigabyte-gs27qc-270-2560-x-1440-170-hz-curved-monitor-gs27qc,,27,"2560,1440",170,,VA,16:9
Philips Evnia 5000,https://pcpartpicker.com/product/2PwmP6/philips-evnia-5000-270-1920-x-1080-280-hz-curved-monitor-27m2c5200w00,,27,"1920,1080",280,1,VA,16:9
Dell U2720Q,https://pcpartpicker.com/product/kxWBD3/dell-u2720q-270-3840x2160-60-hz-monitor-u2720q,772.9,27,"3840,2160",60,5,IPS,16:9
LG 27GN750-B,https://pcpartpicker.com/product/jFxbt6/lg-27gn750-b-270-1920x1080-240-hz-monitor-27gn750-b,450.99,27,"1920,1080",240,1,IPS,16:9
Asus PB278Q,https://pcpartpicker.com/product/LVV48d/asus-monitor-pb278q,,27,"2560,1440",60,5,IPS,16:9
Samsung U28E590D,https://pcpartpicker.com/product/L4nG3C/samsung-monitor-u28e590d,,28,"3840,2160",60,1,TN,16:9
Acer Nitro KG251Q Z,https://pcpartpicker.com/product/dwTp99/acer-nitro-kg251q-z-245-1920-x-1080-250-hz-monitor-umkx1aaz01,,24.5,"1920,1080",250,,VA,16:9
INNOCN 32M2V,https://pcpartpicker.com/product/4Xhv6h/innocn-32m2v-320-3840-x-2160-144-hz-monitor-32m2v,524.49,32,"3840,2160",144,1,IPS Mini LED,16:9
ASRock PG27FFT1B,https://pcpartpicker.com/product/ZRDQzy/asrock-pg27fft1b-270-1920-x-1080-180-hz-monitor-pg27fft1b,,27,"1920,1080",180,,IPS,16:9
Philips Evnia 5000 34M2C5501A,https://pcpartpicker.com/product/k8hv6h/philips-evnia-5000-34m2c5501a-340-3440-x-1440-180-hz-curved-monitor-34m2c5501a01,,34,"3440,1440",180,1,VA,21:9
LG 49WQ95C-W,https://pcpartpicker.com/product/RJC48d/lg-49wq95c-w-490-5120-x-1440-144-hz-curved-monitor-49wq95c-w,27499.99,49,"5120,1440",144,5,Nano IPS,32:9
MSI Optix G27CQ4,https://pcpartpicker.com/product/nBD7YJ/msi-optix-g27cq4-270-2560x1440-165-hz-monitor-optixg27cq4,,27,"2560,1440",165,,VA,16:9
LG 27GP950-B,https://pcpartpicker.com/product/4gPQzy/lg-27gp950-b-270-3840x2160-160-hz-monitor-27gp950-b,944.99,27,"3840,2160",160,1,IPS,16:9
MSI Optix G24C,https://pcpartpicker.com/product/Hh648d/msi-optix-g24c-240-1920x1080-144hz-monitor-optix-g24c,125.97,23.6,"1920,1080",144,1,VA,16:9
Dell Alienware AW2721D,https://pcpartpicker.com/product/H4K2FT/alienware-aw2721d-270-2560-x-1440-240-hz-monitor-aw2721d,,27,"2560,1440",240,1,IPS,16:9
Asus TUF GAMING VG259Q,https://pcpartpicker.com/product/fTmFf7/asus-tuf-gaming-vg259q-245-1920x1080-144-hz-monitor-vg259q,,24.5,"1920,1080",144,,IPS,16:9
Dell S2722DGM,https://pcpartpicker.com/product/nVVmP6/dell-s2722dgm-270-2560x1440-165-hz-curved-monitor-210-azzp,,27,"2560,1440",165,2,VA,16:9
ViewSonic XG2736-2K,https://pcpartpicker.com/product/HhG2FT/viewsonic-xg2736-2k-270-2560-x-1440-240-hz-monitor-xg2736-2k,392.99,27,"2560,1440",240,2,IPS,16:9
Asus ROG Strix XG32UQ,https://pcpartpicker.com/product/8CGbt6/asus-rog-strix-xg32uq-320-3840-x-2160-160-hz-monitor-90lm08b0-b011b0,,32,"3840,2160",160,1,IPS,16:9
ViewSonic VX3218C-2K,https://pcpartpicker.com/product/bfpQzy/viewsonic-vx3218c-2k-320-2560-x-1440-165-hz-curved-monitor-vx3218c-2k,226.99,32,"2560,1440",165,,VA,16:9
Gigabyte M27QA,https://pcpartpicker.com/product/h49nTW/gigabyte-m27qa-270-2560-x-1440-180-hz-monitor-m27qa,331.99,27,"2560,1440",180,,,16:9
Asus VG279Q1A,https://pcpartpicker.com/product/Cn3mP6/asus-vg279q1a-270-1920x1080-165-hz-monitor-vg279q1a,229,27,"1920,1080",165,,IPS,16:9
Pixio PX278 Wave,https://pcpartpicker.com/product/nz88TW/pixio-px278-wave-270-2560-x-1440-180-hz-monitor-px278wave-purple,256.99,27,"2560,1440",180,1,IPS,16:9
Acer K222HQL,https://pcpartpicker.com/product/8tnG3C/acer-monitor-k222hql,126.99,21.5,"1920,1080",60,5,TN,16:9
MSI Optix G32CQ4 E2,https://pcpartpicker.com/product/s3RwrH/msi-optix-g32cq4-e2-315-2560-x-1440-170-hz-curved-monitor-g32cq4-e2,262.95,31.5,"2560,1440",170,,VA,16:9
Dell SE2222H,https://pcpartpicker.com/product/ypWzK8/dell-se2222h-215-1920-x-1080-60-hz-monitor-se2222h,,21.5,"1920,1080",60,8,VA,16:9
Asus TUF Gaming VG249Q1R,https://pcpartpicker.com/product/H34Zxr/asus-tuf-gaming-vg249q1r-238-1920-x-1080-165-hz-monitor-90lm05v1-b01eb0,,23.8,"1920,1080",165,,IPS,16:9
HP VH240a,https://pcpartpicker.com/product/rLsmP6/hp-vh240a-238-1920x1080-60hz-monitor-vh240a,348,23.8,"1920,1080",60,5,IPS,16:9
HUAWEI MateView GT Sound Edition,https://pcpartpicker.com/product/s9pzK8/huawei-mateview-gt-sound-edition-340-3440x1440-165-hz-monitor-zqe-caa,,34,"3440,1440",165,4,VA,21:9
Samsung Odyssey G30A,https://pcpartpicker.com/product/MPpzK8/samsung-odyssey-g30a-270-1920x1080-144-hz-monitor-ls27ag302nnxza,,27,"1920,1080",144,,VA,16:9
Asus VY279HE-W,https://pcpartpicker.com/product/TwBG3C/asus-vy279he-w-270-1920-x-1080-75-hz-monitor-90lm06d2-b011b0,132,27,"1920,1080",75,,IPS,16:9
LG UltraGear,https://pcpartpicker.com/product/8HcRsY/lg-ultragear-270-1920-x-1080-240-hz-monitor-27gn75b-b,,27,"1920,1080",240,1,IPS,16:9
ViewSonic ColorPro VP2786-4K,https://pcpartpicker.com/product/ykVmP6/viewsonic-colorpro-vp2786-4k-270-3840-x-2160-60-hz-monitor-vp2786-4k,999.99,27,"3840,2160",60,5,IPS,16:9
MSI PRO MP253W,https://pcpartpicker.com/product/kFCCmG/msi-pro-mp253w-245-1920-x-1080-100-hz-monitor-pro-mp253w,114.99,24.5,"1920,1080",100,4,IPS,16:9
LG UltraGear 34GP950G-B,https://pcpartpicker.com/product/VGhFf7/lg-ultragear-34gp950g-b-340-3440x1440-180-hz-monitor-34gp950g-b,1020.94,34,"3440,1440",180,1,IPS,21:9
Philips 271V8LB,https://pcpartpicker.com/product/2nhv6h/philips-271v8lb-270-1920-x-1080-100-hz-monitor-271v8lb,124.99,27,"1920,1080",100,4,VA,16:9
Acer VG271U Pbmiipx,https://pcpartpicker.com/product/b8VD4D/acer-vg271u-pbmiipx-270-2560x1440-144-hz-monitor-vg271u-pbmiipx,,27,"2560,1440",144,1,IPS,16:9
MSI MAG ARTYMIS 324CP,https://pcpartpicker.com/product/N2stt6/msi-mag-artymis-324cp-315-1920x1080-165-hz-monitor-mag-artymis-324cp,,31.5,"1920,1080",165,,VA,16:9
AOC AG274QG,https://pcpartpicker.com/product/jMJgXL/aoc-ag274qg-270-2560-x-1440-240-hz-monitor-ag274qg,,27,"2560,1440",240,1,IPS,16:9
HP 738pu,https://pcpartpicker.com/product/qBKscf/hp-738pu-375-3840-x-1600-60-hz-curved-monitor-8k167aaaba,1113,37.5,"3840,1600",60,5,IPS,12:5
Samsung C49RG9,https://pcpartpicker.com/product/RTwkcf/samsung-c49rg9-490-5120x1440-120-hz-monitor-lc49rg90ssnxza,,49,"5120,1440",120,4,VA,32:9
Acer EK241Y,https://pcpartpicker.com/product/Xp6qqs/acer-ek241y-238-1920x1080-75-hz-monitor-umqe1aa004,,23.8,"1920,1080",75,4,IPS,16:9
Acer XR343CK PBMIIPPHUZX,https://pcpartpicker.com/product/D2PQzy/acer-xr343ck-pbmiipphuzx-340-3440-x-1440-180-hz-curved-monitor-umcx3aap01,,34,"3440,1440",180,,IPS,21:9
iiyama G-MASTER GB2470HSU-B5,https://pcpartpicker.com/product/yxKscf/iiyama-g-master-gb2470hsu-b5-238-1920-x-1080-165-hz-monitor-gb2470hsu-b5,,23.8,"1920,1080",165,,IPS,16:9
LG 38WR85QC-W,https://pcpartpicker.com/product/pxdG3C/lg-38wr85qc-w-375-3840-x-1600-144-hz-curved-monitor-38wr85qc-w,23096.99,37.5,"3840,1600",144,1,Nano IPS,12:5
Sceptre E275B-QPN168,https://pcpartpicker.com/product/HqJp99/sceptre-e275b-qpn168-270-2560-x-1440-144-hz-monitor-e275b-qpn168,192.99,27,"2560,1440",144,1,IPS,16:9
Acer Predator X34 Xbmiiphuzx,https://pcpartpicker.com/product/Y4h2FT/acer-predator-x34-xbmiiphuzx-340-3440-x-1440-240-hz-curved-monitor-umcxxeex01,845.99,34,"3440,1440",240,,QD-OLED,21:9
Asus ProArt Display PA329CV,https://pcpartpicker.com/product/KLbTwP/asus-proart-display-pa329cv-320-3840x2160-60-hz-monitor-90lm06p1-b011b0,543.6,32,"3840,2160",60,5,IPS,16:9
Gigabyte AORUS FO27Q2,https://pcpartpicker.com/product/zKfxFT/gigabyte-aorus-fo27q2-270-2560-x-1440-240-hz-monitor-aorus-fo27q2,,27,"2560,1440",240,0.03,QD-OLED,16:9
LG 27MP400-B,https://pcpartpicker.com/product/wsVmP6/lg-27mp400-b-270-1920x1080-75-hz-monitor-27mp400-b,149.36,27,"1920,1080",75,5,IPS,16:9
Philips 241E1SCA/00,https://pcpartpicker.com/product/s7gQzy/philips-241e1sca00-236-1920x1080-75-hz-monitor-241e1sca00,,23.6,"1920,1080",75,4,VA,16:9
Asus TUF Gaming VG328H1B,https://pcpartpicker.com/product/chxbt6/asus-tuf-gaming-vg328h1b-315-1920x1080-165-hz-monitor-90lm0681-b011b0,261,31.5,"1920,1080",165,,VA,16:9
LG 34GK950G-B,https://pcpartpicker.com/product/DcsmP6/lg-34gk950g-b-340-3440x1440-120-hz-monitor-34gk950g-b,,34,"3440,1440",120,1,IPS,21:9
Sceptre C248B-FWT168,https://pcpartpicker.com/product/vWYRsY/sceptre-c248b-fwt168-236-1920-x-1080-165-hz-curved-monitor-c248b-fwt168,,23.6,"1920,1080",165,,VA,16:9
Acer XF243Y Pbmiiprx,https://pcpartpicker.com/product/Qtwkcf/acer-xf243y-pbmiiprx-238-1920x1080-165-hz-monitor-umqx3aap01,,23.8,"1920,1080",165,2,IPS,16:9
Asus TUF Gaming VG32AQA1A,https://pcpartpicker.com/product/mNn9TW/asus-tuf-gaming-vg32aqa1a-315-2560-x-1440-170-hz-monitor-90lm07l0-b033b0,242.99,31.5,"2560,1440",170,,VA,16:9
Acer EI272UR Pbmiiipx,https://pcpartpicker.com/product/cpFKHx/acer-ei272ur-pbmiiipx-270-2560x1440-144-hz-monitor-umhe2aap01,221.99,27,"2560,1440",144,4,VA,16:9
iiyama G-Master GCB3486WQSCP-B1 Gold Phoenix,https://pcpartpicker.com/product/3njv6h/iiyama-g-master-gcb3486wqscp-b1-gold-phoenix-340-3440-x-1440-240-hz-curved-monitor-gcb3486wqscp-b1,896,34,"3440,1440",240,,VA,21:9
Acer ED273 Bbmiix,https://pcpartpicker.com/product/qWQcCJ/acer-ed273-bbmiix-270-1920x1080-monitor-umhe3aab01,,27,"1920,1080",,,VA,16:9
LG 27GP750-B,https://pcpartpicker.com/product/m9gFf7/lg-27gp750-b-270-1920x1080-240-hz-monitor-27gp750-b,311.46,27,"1920,1080",240,1,IPS,16:9
MSI PRO MP243X,https://pcpartpicker.com/product/QHMMnQ/msi-pro-mp243x-238-1920-x-1080-100-hz-monitor-pro-mp243x,,23.8,"1920,1080",100,4,IPS,16:9
MSI Optix G274QRFW,https://pcpartpicker.com/product/kzQcCJ/msi-optix-g274qrfw-270-2560x1440-170-hz-monitor-g274qrfw,341.47,27,"2560,1440",170,1,IPS,16:9
Samsung U28R550,https://pcpartpicker.com/product/NWgQzy/samsung-u28r550-280-3840x2160-60-hz-monitor-lu28r550uqnxza,,28,"3840,2160",60,4,IPS,16:9
Samsung C34F791,https://pcpartpicker.com/product/hLYWGX/samsung-c34f791-340-3440x1440-100-hz-monitor-lc34f791wqnxza,,34,"3440,1440",100,4,VA,21:9
AOC C27G2ZE/BK,https://pcpartpicker.com/product/BLTzK8/aoc-c27g2zebk-270-1920x1080-240-hz-monitor-c27g2zebk,,27,"1920,1080",240,,VA,16:9
Acer ED320QR Sbiipx,https://pcpartpicker.com/product/XPC48d/acer-ed320qr-sbiipx-315-1920x1080-165-hz-curved-monitor-umje0aas01,,31.5,"1920,1080",165,,VA,16:9
BenQ ZOWIE XL2411K,https://pcpartpicker.com/product/43rYcf/benq-zowie-xl2411k-240-1920-x-1080-144-hz-monitor-xl2411k,,24,"1920,1080",144,,TN,16:9
HP L1506x,https://pcpartpicker.com/product/7TK7YJ/hp-monitor-ll543a8aba,,15,"1024,768",75,8,,4:3
BenQ GL2460HM,https://pcpartpicker.com/product/mWV48d/benq-monitor-gl2460hm,,24,"1920,1080",60,2,TN,16:9
iiyama G-MASTER BLACK HAWK,https://pcpartpicker.com/product/24BTwP/iiyama-g2530hsu-b1-245-1920x1080-75hz-monitor-g2530hsu-b1,,24.5,"1920,1080",75,1,TN,16:9
AOC 24B2XH,https://pcpartpicker.com/product/WYbCmG/aoc-24b2xh-238-1920x1080-75-hz-monitor-24b2xh,,23.8,"1920,1080",75,8,IPS,16:9
Acer ED270R Sbiipx,https://pcpartpicker.com/product/WLLFf7/acer-ed270r-sbiipx-270-1920x1080-165-hz-monitor-umhe0aas02,211.5,27,"1920,1080",165,,VA,16:9
LG UltraGear,https://pcpartpicker.com/product/hfWBD3/lg-ultragear-315-2560-x-1440-144-hz-monitor-32gk65b-b,,31.5,"2560,1440",144,5,VA,16:9
Eizo FlexScan EV2730Q,https://pcpartpicker.com/product/XWjBD3/eizo-flexscan-ev2730q-265-1920x1920-60-hz-monitor-ev2730qfx-bk,,26.5,"1920,1920",60,5,IPS,1:1
Acer XV272U KFbmiipruzx,https://pcpartpicker.com/product/V7VmP6/acer-xv272u-kfbmiipruzx-270-2560x1440-300-hz-monitor-umhx2aaf01,,27,"2560,1440",300,,IPS,16:9
AOC G2 CQ32G2S,https://pcpartpicker.com/product/wzKscf/aoc-g2-cq32g2s-315-2560-x-1440-165-hz-curved-monitor-cq32g2s,,31.5,"2560,1440",165,,VA,16:9
AOC AGON AG256FS,https://pcpartpicker.com/product/nqCZxr/aoc-agon-ag256fs-245-1920-x-1080-390-hz-monitor-ag256fs,,24.5,"1920,1080",390,1,IPS,16:9
BenQ RD280U,https://pcpartpicker.com/product/LRvscf/benq-rd280u-282-3840-x-2560-60-hz-monitor-rd280u,696.99,28.2,"3840,2560",60,5,IPS,3:2
Pixio PX278 Wave,https://pcpartpicker.com/product/NtmNnQ/pixio-px278-wave-270-2560-x-1440-180-hz-monitor-px278wave-mint,219.99,27,"2560,1440",180,1,IPS,16:9
AOC CQ27G3Z,https://pcpartpicker.com/product/Pw9wrH/aoc-cq27g3z-270-2560-x-1440-240-hz-curved-monitor-cq27g3z,361.99,27,"2560,1440",240,4,VA,16:9
Asus ROG Strix XG27AQ-W,https://pcpartpicker.com/product/D2M48d/asus-rog-strix-xg27aq-w-270-2560x1440-170-hz-monitor-90lm06u0-b033b0,416,27,"2560,1440",170,1,IPS,16:9
Samsung S22A450BW-1,https://pcpartpicker.com/product/zCxfrH/samsung-monitor-s22a450bw1,88,22,"1680,1050",,5,,16:10
Lenovo Legion Y27q-20,https://pcpartpicker.com/product/hs848d/lenovo-legion-y27q-20-270-2560x1440-165-hz-monitor-65eegac1us,321.58,27,"2560,1440",165,,IPS,16:9
Sceptre C345W-2560UN,https://pcpartpicker.com/product/N3mFf7/sceptre-c345w-2560un-340-2560x1080-100-hz-monitor-c345w-2560un,259.97,34,"2560,1080",100,6,VA,21:9
BenQ GW2480,https://pcpartpicker.com/product/NHyV3C/benq-gw2480-238-1920x1080-60-hz-monitor-gw2480,,23.8,"1920,1080",60,5,IPS,16:9
Samsung Odyssey G65B,https://pcpartpicker.com/product/Zb3NnQ/samsung-odyssey-g65b-270-2560-x-1440-240-hz-curved-monitor-ls27bg650euxxu,,27,"2560,1440",240,1,VA,16:9
Asus ROG Strix XG248Q,https://pcpartpicker.com/product/Lnvbt6/asus-rog-strix-xg248q-238-1920x1080-240-hz-monitor-xg248q,286,23.8,"1920,1080",240,1,TN,16:9
Sceptre E205W-1600,https://pcpartpicker.com/product/Vf7CmG/sceptre-monitor-e205w1600,,20,"1600,900",60,5,TN,16:9
AOC C27G1,https://pcpartpicker.com/product/p8c48d/aoc-c27g1-270-1920x1080-144-hz-monitor-c27g1,,27,"1920,1080",144,1,VA,16:9
Gigabyte G27FC,https://pcpartpicker.com/product/VgVG3C/gigabyte-g27fc-270-1920x1080-165-hz-monitor-g27fc,,27,"1920,1080",165,,VA,16:9
Acer SB272U Ebiip,https://pcpartpicker.com/product/nCvD4D/acer-sb272u-ebiip-270-2560-x-1440-100-hz-monitor-sb272u-ebiip,167.99,27,"2560,1440",100,,IPS,16:9
ASRock PG27FF1A,https://pcpartpicker.com/product/XGytt6/asrock-pg27ff1a-270-1920x1080-165-hz-monitor-pg27ff1a,,27,"1920,1080",165,,IPS,16:9
Dell S2421HGF,https://pcpartpicker.com/product/8nrRsY/dell-s2421hgf-240-1920x1080-144-hz-monitor-s2421hgf,299.99,24,"1920,1080",144,1,TN,16:9
MSI MAG27C6X,https://pcpartpicker.com/product/WFNYcf/msi-mag27c6x-270-1920-x-1080-250-hz-monitor-mag27c6x,184.99,27,"1920,1080",250,4,VA,16:9
Gigabyte G32QC,https://pcpartpicker.com/product/HbDkcf/gigabyte-g32qc-315-2560x1440-165-hz-monitor-g32qc,,31.5,"2560,1440",165,,,16:9
Dell U3223QE,https://pcpartpicker.com/product/X7VmP6/dell-u3223qe-315-3840x2160-60-hz-monitor-210-bdph,915,31.5,"3840,2160",60,5,IPS,16:9
LG 27GQ40W-B,https://pcpartpicker.com/product/CYstt6/lg-27gq40w-b-270-1920x1080-165-hz-monitor-27gq40w-b,202,27,"1920,1080",165,5,VA,16:9
ViewSonic OMNI VX2428J,https://pcpartpicker.com/product/2jQKHx/viewsonic-omni-vx2428j-238-1920-x-1080-180-hz-monitor-vx2428j,,23.8,"1920,1080",180,,IPS,16:9
ViewSonic VA2055SM,https://pcpartpicker.com/product/W7Trxr/viewsonic-monitor-va2055sm,,19.5,"1920,1080",60,25,VA,16:9
HP Omen 27i,https://pcpartpicker.com/product/3VTzK8/hp-omen-27i-270-2560x1440-165-hz-monitor-8ac94aaaba,,27,"2560,1440",165,,IPS,16:9
Acer XB273U GSbmiiprzx,https://pcpartpicker.com/product/r3PgXL/acer-xb273u-gsbmiiprzx-270-2560x1440-165-hz-monitor-umhx0aas01,,27,"2560,1440",165,,IPS,16:9
KTC H24T09P,https://pcpartpicker.com/product/MGyH99/ktc-h24t09p-238-1920-x-1080-165-hz-monitor-h24t09p,,23.8,"1920,1080",165,1,IPS,16:9
Asus ROG Swift PG259QN,https://pcpartpicker.com/product/xMhmP6/asus-rog-swift-pg259qn-245-1920x1080-360-hz-monitor-pg259qn,825,24.5,"1920,1080",360,1,IPS,16:9
Asus TUF Gaming VG27VQ,https://pcpartpicker.com/product/BK7p99/asus-tuf-gaming-vg27vq-270-1920x1080-165-hz-monitor-vg27vq,474.95,27,"1920,1080",165,,VA,16:9
Samsung S24R350,https://pcpartpicker.com/product/bPJmP6/samsung-s24r350-238-1920x1080-75-hz-monitor-ls24r350fhnxza,,23.8,"1920,1080",75,5,IPS,16:9
LG 24MK430H-B,https://pcpartpicker.com/product/3bJmP6/lg-24mk430h-b-238-1920x1080-75-hz-monitor-24mk430h-b,129.99,23.8,"1920,1080",75,5,IPS,16:9
LG 24GN600-B,https://pcpartpicker.com/product/ZLwypg/lg-24gn600-b-240-1920x1080-144-hz-monitor-24gn600-b,230.99,24,"1920,1080",144,1,IPS,16:9
Dell U2412M,https://pcpartpicker.com/product/pvJwrH/dell-monitor-m2gcr,,24,"1920,1200",60,8,IPS,16:10
MSI Optix MAG251RX,https://pcpartpicker.com/product/nGhmP6/msi-optix-mag251rx-245-1920x1080-240-hz-monitor-optix-mag251rx,,24.5,"1920,1080",240,1,IPS,16:9
Dell S3220DGF,https://pcpartpicker.com/product/xNWBD3/dell-s3220dgf-315-2560x1440-165-hz-monitor-s3220dgf,,31.5,"2560,1440",165,5,VA,16:9
Philips 221V8LN/27,https://pcpartpicker.com/product/WVwmP6/philips-221v8ln27-220-1920-x-1080-75-hz-monitor-221v8ln27,,22,"1920,1080",75,4,VA,16:9
Acer Nitro XF240Y M3biiph,https://pcpartpicker.com/product/F2TZxr/acer-nitro-xf240y-m3biiph-238-1920-x-1080-180-hz-monitor-umqx0aa302,,23.8,"1920,1080",180,,IPS,16:9
BenQ MOBIUZ EX321UX,https://pcpartpicker.com/product/KtP8TW/benq-mobiuz-ex321ux-315-3840-x-2160-144-hz-monitor-ex321ux,1049.99,31.5,"3840,2160",144,1,IPS Mini LED,16:9
Acer Nitro XV275K P3,https://pcpartpicker.com/product/zy3NnQ/acer-nitro-xv275k-p3-270-3840-x-2160-160-hz-monitor-xv275k-p3biipruzx,441.99,27,"3840,2160",160,1,IPS Mini LED,16:9
Lenovo Legion R45w-30,https://pcpartpicker.com/product/M7bRsY/lenovo-legion-r45w-30-445-5120-x-1440-170-hz-curved-monitor-67b1gac3us,993.99,44.5,"5120,1440",170,,VA,32:9
Gigabyte M27UA,https://pcpartpicker.com/product/bL88TW/gigabyte-m27ua-270-3840-x-2160-160-hz-monitor-m27ua,,27,"3840,2160",160,5,IPS,16:9
MSI G274F,https://pcpartpicker.com/product/HjJp99/msi-g274f-270-1920-x-1080-180-hz-monitor-g274f,170.5,27,"1920,1080",180,1,IPS,16:9
Asus TUF GAMING VG24VQE,https://pcpartpicker.com/product/sFxRsY/asus-tuf-gaming-vg24vqe-236-1920x1080-165-hz-curved-monitor-90lm0575-b011b0,151.99,23.6,"1920,1080",165,,VA,16:9
HP OMEN 27k,https://pcpartpicker.com/product/RgFmP6/hp-omen-27k-270-3840-x-2160-144-hz-monitor-780g8aaaba,525.99,27,"3840,2160",144,1,IPS,16:9
BenQ ZOWIE XL2546X,https://pcpartpicker.com/product/tBpQzy/benq-zowie-xl2546x-245-1920-x-1080-240-hz-monitor-xl2546x,,24.5,"1920,1080",240,,TN,16:9
LG 27EP950,https://pcpartpicker.com/product/Xcwypg/lg-27ep950-270-3840-x-2160-60-hz-monitor-27ep950,43299.99,27,"3840,2160",60,1,OLED,16:9
Dell U2415,https://pcpartpicker.com/product/zwPzK8/dell-monitor-u2415,673,24.1,"1920,1200",60,6,IPS,16:10
Samsung Odyssey G9 C49G97T,https://pcpartpicker.com/product/HrK2FT/samsung-odyssey-g9-c49g97t-488-5120x1440-240-hz-monitor-lc49g97tssnxdc,1609.99,48.8,"5120,1440",240,1,VA,32:9
Lenovo LEGION Y34wz-30,https://pcpartpicker.com/product/Y7n9TW/lenovo-legion-y34wz-30-340-3440-x-1440-180-hz-curved-monitor-67b0uac1us,,34,"3440,1440",180,11,VA Mini LED,21:9
BenQ EX3501R,https://pcpartpicker.com/product/PLjJ7P/benq-ex3501r-350-3440x1440-100hz-monitor-ex3501r,,35,"3440,1440",100,4,VA,21:9
AOC CQ27G2,https://pcpartpicker.com/product/Gxstt6/aoc-cq27g2-270-2560x1440-144-hz-monitor-cq27g2,,27,"2560,1440",144,,VA,16:9
LG 25UM58-P,https://pcpartpicker.com/product/wNcMnQ/lg-25um58-p-250-2560-x-1080-75-hz-monitor-25um58-p,,25,"2560,1080",75,5,IPS,21:9
Dell S2417DG,https://pcpartpicker.com/product/CwgPxr/dell-s2417dg-238-165hz-monitor-s2417dg,,23.8,"2560,1440",165,1,TN,16:9
Acer Predator XB273K Pbmiphzx,https://pcpartpicker.com/product/fCBTwP/acer-predator-xb273k-pbmiphzx-270-3840x2160-144-hz-monitor-xb273k-pbmiphzx,,27,"3840,2160",144,4,IPS,16:9
Sceptre C248B-144RN,https://pcpartpicker.com/product/MqL48d/sceptre-c248b-144rn-240-1920x1080-144-hz-monitor-c248b-144rn,,24,"1920,1080",144,3,VA,16:9
AOC 27G2S,https://pcpartpicker.com/product/4ykH99/aoc-27g2s-270-1920-x-1080-165-hz-monitor-27g2s,,27,"1920,1080",165,,VA,16:9
