name,part_url,price,protocol,interface,color
D-Link DWA-130,https://pcpartpicker.com/product/Lc9KHx/d-link-wireless-network-card-dwa130,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-160,https://pcpartpicker.com/product/W94gXL/d-link-wireless-network-card-dwa160,36.99,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WDN3800,https://pcpartpicker.com/product/LTGkcf/tp-link-wireless-network-card-tlwdn3800,,Wi-Fi 4,PCIe x1,
TP-Link TL-WN751ND,https://pcpartpicker.com/product/NmXfrH/tp-link-wireless-network-card-tlwn751nd,69.99,Wi-Fi 4,PCI,
D-Link DWA-525,https://pcpartpicker.com/product/tGphP6/d-link-wireless-network-card-dwa525,,Wi-Fi 4,PCI,
Edimax EW-7128Gn,https://pcpartpicker.com/product/Krdqqs/edimax-wireless-network-card-ew7128gn,,Wi-Fi 4,PCI,
Asus USB-AC53,https://pcpartpicker.com/product/2p7wrH/asus-wireless-network-card-usbac53,,Wi-Fi 5,USB Type-A 2.0,
Edimax EW-7811UTC,https://pcpartpicker.com/product/Qqckcf/edimax-wireless-network-card-ew7811utc,17.98,Wi-Fi 5,USB Type-A 2.0,
TP-Link TL-WDN4200,https://pcpartpicker.com/product/jpyFf7/tp-link-wireless-network-card-tlwdn4200,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-AC1200PCE,https://pcpartpicker.com/product/WTdqqs/rosewill-wireless-network-card-rnxac1200pce,,Wi-Fi 5,PCIe x1,
StarTech USB433WACDB,https://pcpartpicker.com/product/4cCrxr/startech-wireless-network-card-usb433wacdb,23.84,Wi-Fi 5,USB Type-A 2.0,
Intel 3160.NGWG,https://pcpartpicker.com/product/w4DzK8/intel-wireless-network-card-3160ngwg,,Wi-Fi 5,Mini-PCIe,
Asus USB-AC68,https://pcpartpicker.com/product/TBL7YJ/asus-usb-ac68-none-wi-fi-adapter-usb-ac68,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Syba SY-PEX23063,https://pcpartpicker.com/product/WwVBD3/syba-sy-pex23063-none-wi-fi-adapter-sy-pex23063,,Wi-Fi 4,PCIe x1,
BrosTrend AC1L,https://pcpartpicker.com/product/PHYLrH/brostrend-ac1l-none-wi-fi-adapter-ac1l,29.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC600NUBv2,https://pcpartpicker.com/product/94zkcf/rosewill-rnx-ac600nubv2-usb-20-wi-fi-adapter-rnx-ac600nubv2,,Wi-Fi 5,USB Type-A 2.0,Black
Gigabyte GC-WBAX1200,https://pcpartpicker.com/product/rghv6h/gigabyte-gc-wbax1200-80211abgnacax-pcie-x1-wi-fi-adapter-gc-wbax1200,,Wi-Fi 6E,PCIe x1,Black
Rosewill RNX-AC1300PCEv2,https://pcpartpicker.com/product/CWpzK8/rosewill-rnx-ac1300pcev2-80211abgnac-pcie-x1-wi-fi-adapter-rnx-ac1300pcev2,,Wi-Fi 5,PCIe x1,Black
Intel 9560.NGWG.NVR,https://pcpartpicker.com/product/tLTZxr/intel-9560ngwgnvr-80211abgnac-m2-wi-fi-adapter-9560ngwgnvr,,Wi-Fi 5,M.2,Silver
TP-Link TL-WN851ND,https://pcpartpicker.com/product/PqCwrH/tp-link-wireless-network-card-tlwn851nd,,Wi-Fi 4,PCI,
D-Link DWA-171,https://pcpartpicker.com/product/B3rG3C/d-link-wireless-network-card-dwa171,40.99,Wi-Fi 5,USB Type-A 2.0,
Intel 7260,https://pcpartpicker.com/product/VfrcCJ/intel-wireless-network-card-7260,29.99,Wi-Fi 4,Mini-PCIe,
Asus PCE-AC66,https://pcpartpicker.com/product/qc8Zxr/asus-wireless-network-card-pceac66,,Wi-Fi 5,PCIe x1,
Intel 2200BNHMWDTX1G,https://pcpartpicker.com/product/k4ckcf/intel-wireless-network-card-2200bnhmwdtx1g,,Wi-Fi 4,PCIe x1,
Linksys WMP600N,https://pcpartpicker.com/product/LJJwrH/linksys-wireless-network-card-wmp600n,,Wi-Fi 4,PCI,
Rosewill RNX-N150PCe,https://pcpartpicker.com/product/Z6JwrH/rosewill-wireless-network-card-rnxn150pce,,Wi-Fi 4,PCIe x1,
Rosewill RNX-N180UBE,https://pcpartpicker.com/product/YM9KHx/rosewill-wireless-network-card-rnxn180ube,,Wi-Fi 4,USB Type-A 2.0,
Intel 62205AN.HMWWB,https://pcpartpicker.com/product/r9kD4D/intel-wireless-network-card-62205anhmwwb,,Wi-Fi 4,Half Mini-PCIe,
Intel 6235AN.HMWWB,https://pcpartpicker.com/product/WM9KHx/intel-wireless-network-card-6235anhmwwb,17,Wi-Fi 4,Half Mini-PCIe,
Asus PCE-N53,https://pcpartpicker.com/product/Fc8Zxr/asus-wireless-network-card-pcen53,,Wi-Fi 4,PCIe x1,
Linksys AE2500,https://pcpartpicker.com/product/fHPfrH/linksys-wireless-network-card-ae2500,48.99,Wi-Fi 4,USB Type-A 2.0,
Patriot PCUSBW1150,https://pcpartpicker.com/product/7KvRsY/patriot-wireless-network-card-pcusbw1150,,Wi-Fi 4,USB Type-A 2.0,
Rosewill N600PCE,https://pcpartpicker.com/product/GrNp99/rosewill-wireless-network-card-n600pce,,Wi-Fi 4,PCIe x1,
TRENDnet TEW-424UB,https://pcpartpicker.com/product/YTGkcf/trendnet-wireless-network-card-tew424ub,,Wi-Fi 3,USB Type-A 2.0,
D-Link DWA-121,https://pcpartpicker.com/product/wYvRsY/d-link-wireless-network-card-dwa121,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-182,https://pcpartpicker.com/product/BvBv6h/d-link-wireless-network-card-dwa182,49.35,Wi-Fi 5,USB Type-A 2.0,
D-Link DWA-548,https://pcpartpicker.com/product/cx8Zxr/d-link-wireless-network-card-dwa548,,Wi-Fi 4,PCIe x1,
Netgear A6200-100NAS,https://pcpartpicker.com/product/np7wrH/netgear-wireless-network-card-a6200100nas,27.99,Wi-Fi 5,USB Type-A 2.0,
Netgear WNA1100-100ENS,https://pcpartpicker.com/product/XRrG3C/netgear-wireless-network-card-wna1100100ens,69.99,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN350GD,https://pcpartpicker.com/product/cKzv6h/tp-link-wireless-network-card-tlwn350gd,,Wi-Fi 3,PCI,
TP-Link TL-WN727N,https://pcpartpicker.com/product/J94gXL/tp-link-wireless-network-card-tlwn727n,,Wi-Fi 4,USB Type-A 2.0,
Intel 7260HMW,https://pcpartpicker.com/product/bvphP6/intel-7260hmw-half-mini-pcie-80211abgnac-wi-fi-adapter-7260hmwwb,,Wi-Fi 5,Half Mini-PCIe,
Orico ORICO WRD150,https://pcpartpicker.com/product/GC7wrH/orico-wireless-network-card-oricowrd150,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN7200ND,https://pcpartpicker.com/product/yzJwrH/tp-link-wireless-network-card-tlwn7200nd,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-643PI,https://pcpartpicker.com/product/xHPfrH/trendnet-wireless-network-card-tew643pi,25,Wi-Fi 4,PCI,
D-Link DWA-131,https://pcpartpicker.com/product/wbmLrH/d-link-dwa-131-80211abgn-usb-type-a-wi-fi-adapter-dwa-131,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-162,https://pcpartpicker.com/product/hLMFf7/d-link-wireless-network-card-dwa162,19.99,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7612PIn,https://pcpartpicker.com/product/tGrG3C/edimax-wireless-network-card-ew7612pin,,Wi-Fi 4,PCIe x1,
Edimax EW-7822UAC,https://pcpartpicker.com/product/QJ6BD3/edimax-wireless-network-card-ew7822uac,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Hawking Technology HWUG1,https://pcpartpicker.com/product/r4H323/hawking-technology-wireless-network-card-hwug1,,Wi-Fi 3,USB Type-A 2.0,
Asus USB-AC56,https://pcpartpicker.com/product/dmYXsY/asus-wireless-network-card-usbac56,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Linksys WUSB600N,https://pcpartpicker.com/product/LKYXsY/linksys-wireless-network-card-wusb600n,36.99,Wi-Fi 4,USB Type-A 2.0,
Asus USB-AC51,https://pcpartpicker.com/product/G2tCmG/asus-wireless-network-card-usbac51,,Wi-Fi 5,USB Type-A 2.0,
Cisco AE2500,https://pcpartpicker.com/product/YLrcCJ/cisco-wireless-network-card-ae2500,32.99,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HD65U,https://pcpartpicker.com/product/htXfrH/hawking-technology-wireless-network-card-hd65u,,Wi-Fi 5,USB Type-A 2.0,
D-Link DWA-192,https://pcpartpicker.com/product/gZfmP6/d-link-dwa-192-none-wi-fi-adapter-dwa-192,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
AVM FRITZ! WLAN Stick AC 430 MU-MIMO,https://pcpartpicker.com/product/dJPKHx/avm-fritz-wlan-stick-ac-430-mu-mimo-none-wi-fi-adapter-20002766,,Wi-Fi 5,USB Type-A 2.0,White / Red
BrosTrend AC3L Linux Wi-Fi Adapter,https://pcpartpicker.com/product/JHYLrH/brostrend-ac3l-linux-wi-fi-adapter-none-wi-fi-adapter-ac3l-linux-wi-fi-adapter,39.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Rosewill RNX-AC600HGUBEv2,https://pcpartpicker.com/product/RrKcCJ/rosewill-rnx-ac600hgubev2-usb-20-wi-fi-adapter-rnx-ac600hgubev2,,Wi-Fi 5,USB Type-A 2.0,Black
StarTech USB433ACD1X1,https://pcpartpicker.com/product/N3PKHx/startech-usb433acd1x1-usb-20-wi-fi-adapter-usb433acd1x1,23.39,Wi-Fi 5,USB Type-A 2.0,Black
Edimax EW-7612PIN V2,https://pcpartpicker.com/product/s9448d/edimax-ew-7612pin-v2-pcie-x1-wi-fi-adapter-ew-7612pin-v2,,Wi-Fi 4,PCIe x1,Green
Rosewill RNX-AC2030PCE,https://pcpartpicker.com/product/tBmFf7/rosewill-rnx-ac2030pce-pcie-x1-wi-fi-adapter-rnx-ac2030pce,,Wi-Fi 5,PCIe x1,Red / Black
Sabrent USBG802,https://pcpartpicker.com/product/trVG3C/sabrent-usbg802-usb-20-wi-fi-adapter-usbg802,,Wi-Fi 3,USB Type-A 2.0,Black
InFocus INA-WIFIUSB-4,https://pcpartpicker.com/product/G8DJ7P/infocus-ina-wifiusb-4-usb-20-80211bgnac-wi-fi-adapter-ina-wifiusb-4,,Wi-Fi 5,USB Type-A 2.0,Black
Ziyituod ZYT-7265,https://pcpartpicker.com/product/Fgxbt6/ziyituod-zyt-7265-pcie-x1-80211abgnac-wi-fi-adapter-zyt-7265,,Wi-Fi 5,PCIe x1,Green
Intel AX210,https://pcpartpicker.com/product/n72WGX/intel-ax210-80211abgnacax-m2-wi-fi-adapter-ax210ngwgienv,,Wi-Fi 6E,M.2 PCIe,Green
fenvi FV-2030T,https://pcpartpicker.com/product/LcGhP6/fenvi-fv-2030t-80211abgnac-pcie-x1-wi-fi-adapter-fv-2030t,,Wi-Fi 5,PCIe x1,Red
D-Link DWA-X1850,https://pcpartpicker.com/product/zTytt6/d-link-dwa-x1850-80211abgnacax-usb-type-a-wi-fi-adapter-dwa-x1850,,Wi-Fi 6,USB Type-A 3.2 Gen 1,
SIIG LB-WR0011-S1,https://pcpartpicker.com/product/7LhmP6/siig-lb-wr0011-s1-80211abgnac-pcie-x1-wi-fi-adapter-lb-wr0011-s1,52.19,Wi-Fi 5,PCIe x1,Black
SIIG JU-WR0112-S2,https://pcpartpicker.com/product/M3mFf7/siig-ju-wr0112-s2-80211abgn-usb-type-a-wi-fi-adapter-ju-wr0112-s2,22.99,Wi-Fi 4,USB Type-A 2.0,Black
StarTech PEX300WN2X2,https://pcpartpicker.com/product/Fc9KHx/startech-wireless-network-card-pex300wn2x2,25.41,Wi-Fi 4,PCIe x1,
Asus USB-N10,https://pcpartpicker.com/product/KYkD4D/asus-wireless-network-card-usbn10,,Wi-Fi 4,USB Type-A 2.0,
Belkin F7D2102,https://pcpartpicker.com/product/v8DwrH/belkin-wireless-network-card-f7d2102,,Wi-Fi 4,USB Type-A 2.0,
Belkin B2N002,https://pcpartpicker.com/product/TvXfrH/belkin-wireless-network-card-b2n002,72.72,Wi-Fi 4,USB Type-A 2.0,
Asus USB-N13,https://pcpartpicker.com/product/Qtzv6h/asus-wireless-network-card-usbn13,,Wi-Fi 4,USB Type-A 2.0,
Encore ENEWI-1XN42,https://pcpartpicker.com/product/kFvRsY/encore-wireless-network-card-enewi1xn42,,Wi-Fi 4,PCIe x1,
Encore ENUWI-G2,https://pcpartpicker.com/product/MsDwrH/encore-wireless-network-card-enuwig2,,Wi-Fi 3,USB Type-A 2.0,
IOGEAR GWU625,https://pcpartpicker.com/product/CTQypg/iogear-wireless-network-card-gwu625,,Wi-Fi 4,USB Type-A 2.0,
Intel 633AN.HMWWB,https://pcpartpicker.com/product/kkphP6/intel-wireless-network-card-633anhmwwb,,Wi-Fi 4,Half Mini-PCIe,
Rosewill RNX-MiniN2(RWLD-11002),https://pcpartpicker.com/product/zqjG3C/rosewill-wireless-network-card-rnxminin2rwld11002,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N150PCx,https://pcpartpicker.com/product/B2JwrH/rosewill-wireless-network-card-rnxn150pcx,,Wi-Fi 4,PCI,
Rosewill RNX-N150UBE,https://pcpartpicker.com/product/4rNp99/rosewill-wireless-network-card-rnxn150ube,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N180UB,https://pcpartpicker.com/product/nmw323/rosewill-wireless-network-card-rnxn180ub,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N250UBE,https://pcpartpicker.com/product/cJckcf/rosewill-wireless-network-card-rnxn250ube,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N300X,https://pcpartpicker.com/product/fNdqqs/rosewill-wireless-network-card-rnxn300x,,Wi-Fi 4,PCI,
StarTech USB300WN2X2D,https://pcpartpicker.com/product/YvXfrH/startech-usb300wn2x2d-usb-20-80211abgn-wi-fi-adapter-usb300wn2x2d,,Wi-Fi 4,USB Type-A 2.0,
Syba CL-ADA23032,https://pcpartpicker.com/product/wxphP6/syba-wireless-network-card-clada23032,,Wi-Fi 4,USB Type-A 2.0,
Syba CL-ADA24004,https://pcpartpicker.com/product/4xphP6/syba-wireless-network-card-clada24004,,Wi-Fi 4,USB Type-A 2.0,
Syba SY-ADA23026,https://pcpartpicker.com/product/Mjdqqs/syba-wireless-network-card-syada23026,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-648UB,https://pcpartpicker.com/product/dX4gXL/trendnet-wireless-network-card-tew648ub,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-648UBM,https://pcpartpicker.com/product/CbmLrH/trendnet-wireless-network-card-tew648ubm,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-646UBH,https://pcpartpicker.com/product/cYvRsY/trendnet-wireless-network-card-tew646ubh,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-703PI,https://pcpartpicker.com/product/D2vRsY/trendnet-wireless-network-card-tew703pi,,Wi-Fi 4,PCI,
Rosewill N900UBE,https://pcpartpicker.com/product/fM9KHx/rosewill-wireless-network-card-n900ube,,Wi-Fi 4,USB Type-A 2.0,
Asus USB-N66,https://pcpartpicker.com/product/M9kD4D/asus-wireless-network-card-usbn66,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE1200-NP,https://pcpartpicker.com/product/GGphP6/linksys-wireless-network-card-ae1200np,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE1200,https://pcpartpicker.com/product/nHPfrH/linksys-wireless-network-card-ae1200,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNWD-N1501UB,https://pcpartpicker.com/product/DG9KHx/rosewill-wireless-network-card-rnwdn1501ub,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE3000-NP,https://pcpartpicker.com/product/MZV48d/linksys-wireless-network-card-ae3000np,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-N250PC2,https://pcpartpicker.com/product/nYkD4D/rosewill-wireless-network-card-rnxn250pc2,,Wi-Fi 4,PCI,
Rosewill RNX-N150HG,https://pcpartpicker.com/product/s9kD4D/rosewill-wireless-network-card-rnxn150hg,,Wi-Fi 4,USB Type-A 2.0,
Linksys AE2500-NP,https://pcpartpicker.com/product/4qCwrH/linksys-wireless-network-card-ae2500np,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNWD-N1502UBE,https://pcpartpicker.com/product/ML3RsY/rosewill-wireless-network-card-rnwdn1502ube,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L1500,https://pcpartpicker.com/product/j8DwrH/belkin-wireless-network-card-e9l1500,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L3000,https://pcpartpicker.com/product/6vXfrH/belkin-wireless-network-card-e9l3000,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L6000,https://pcpartpicker.com/product/ZnxfrH/belkin-wireless-network-card-e9l6000,,Wi-Fi 4,USB Type-A 2.0,
Belkin E9L7500,https://pcpartpicker.com/product/BQrG3C/belkin-wireless-network-card-e9l7500,,Wi-Fi 4,USB Type-A 2.0,
Diamond WL700NXS,https://pcpartpicker.com/product/Vjdqqs/diamond-wireless-network-card-wl700nxs,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN42,https://pcpartpicker.com/product/DYkD4D/encore-wireless-network-card-enuwi1xn42,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN45,https://pcpartpicker.com/product/rTQypg/encore-wireless-network-card-enuwi1xn45,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-1XN4M,https://pcpartpicker.com/product/2HCwrH/encore-wireless-network-card-enuwi1xn4m,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-2XN42,https://pcpartpicker.com/product/xXDwrH/encore-wireless-network-card-enuwi2xn42,,Wi-Fi 4,USB Type-A 2.0,
Encore ENUWI-2XN45,https://pcpartpicker.com/product/mYkD4D/encore-wireless-network-card-enuwi2xn45,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU627W6,https://pcpartpicker.com/product/sTQypg/iogear-wireless-network-card-gwu627w6,,Wi-Fi 4,USB Type-A 2.0,
Intel 2200BNHMWDTX1,https://pcpartpicker.com/product/2qjG3C/intel-wireless-network-card-2200bnhmwdtx1,,Wi-Fi 4,PCIe x1,
TRENDnet TEW-684UB,https://pcpartpicker.com/product/J8phP6/trendnet-wireless-network-card-tew684ub,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-649UB,https://pcpartpicker.com/product/yX4gXL/trendnet-wireless-network-card-tew649ub,,Wi-Fi 4,USB Type-A 2.0,
Encore ENEWI-1XN45,https://pcpartpicker.com/product/GQrG3C/encore-wireless-network-card-enewi1xn45,,Wi-Fi 4,PCIe x1,
Encore ENEWI-2XN42,https://pcpartpicker.com/product/wWFPxr/encore-wireless-network-card-enewi2xn42,,Wi-Fi 4,PCIe x1,
Encore ENEWI-2XN45,https://pcpartpicker.com/product/8nxfrH/encore-wireless-network-card-enewi2xn45,,Wi-Fi 4,PCIe x1,
TRENDnet TEW-623PI,https://pcpartpicker.com/product/P3Lypg/trendnet-wireless-network-card-tew623pi,,Wi-Fi 4,PCI,
D-Link DWA-125,https://pcpartpicker.com/product/Wc9KHx/d-link-wireless-network-card-dwa125,45.99,Wi-Fi 4,USB Type-A 2.0,
Netgear WN311B-100NAS,https://pcpartpicker.com/product/6BXfrH/netgear-wireless-network-card-wn311b100nas,,Wi-Fi 4,PCI,
Netgear WNA1000M-100ENS,https://pcpartpicker.com/product/PJJwrH/netgear-wireless-network-card-wna1000m100ens,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNA3100-100ENS,https://pcpartpicker.com/product/JnPfrH/netgear-wireless-network-card-wna3100100ens,,Wi-Fi 4,USB Type-A 2.0,
Netgear WNDA4100-100NAS,https://pcpartpicker.com/product/dbmLrH/netgear-wireless-network-card-wnda4100100nas,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN723N,https://pcpartpicker.com/product/HgvRsY/tp-link-wireless-network-card-tlwn723n,,Wi-Fi 4,USB Type-A 2.0,
Intel 6235ANHMW,https://pcpartpicker.com/product/7ztCmG/intel-wireless-network-card-6235anhmw,,Wi-Fi 4,Half Mini-PCIe,
Intel 105,https://pcpartpicker.com/product/dMjG3C/intel-wireless-network-card-105bnhmwwb,,Wi-Fi 4,Mini-PCIe,
Intel 135,https://pcpartpicker.com/product/DtvRsY/intel-wireless-network-card-135bnhmwwb,,Wi-Fi 4,Mini-PCIe,
Intel 2200BNHMW,https://pcpartpicker.com/product/4TGkcf/intel-wireless-network-card-2200bnhmwwb,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW,https://pcpartpicker.com/product/8T6BD3/intel-wireless-network-card-7260hmwanwb,,Wi-Fi 4,Mini-PCIe,
Intel 7260HMW BN,https://pcpartpicker.com/product/mPR48d/intel-wireless-network-card-7260hmwbnwb,,Wi-Fi 4,Mini-PCIe,
Linksys AE6000,https://pcpartpicker.com/product/4MjG3C/linksys-wireless-network-card-ae6000,,Wi-Fi 5,USB Type-A 2.0,
Orico ORICO WRA150,https://pcpartpicker.com/product/2k2kcf/orico-wireless-network-card-oricowra150,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRB150,https://pcpartpicker.com/product/rGphP6/orico-wireless-network-card-oricowrb150bk,,Wi-Fi 4,USB Type-A 2.0,
Orico ORICO WRB150,https://pcpartpicker.com/product/kDPfrH/orico-wireless-network-card-oricowrb150wh,,Wi-Fi 4,USB Type-A 2.0,
Orico WRD150BLK,https://pcpartpicker.com/product/rGrG3C/orico-wireless-network-card-wrd150blk,,Wi-Fi 4,USB Type-A 2.0,
Samsung WIS12ABGNX/XAA,https://pcpartpicker.com/product/RFQypg/samsung-wireless-network-card-wis12abgnxxaa,,Wi-Fi 4,USB Type-A 2.0,
StarTech PCI300WN2X2,https://pcpartpicker.com/product/Mmbp99/startech-wireless-network-card-pci300wn2x2,,Wi-Fi 4,PCI,
TP-Link TL-WN8200ND,https://pcpartpicker.com/product/MN8Zxr/tp-link-wireless-network-card-tlwn8200nd,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-624UB,https://pcpartpicker.com/product/rMzv6h/trendnet-wireless-network-card-tew624ub,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-664UB,https://pcpartpicker.com/product/K94gXL/trendnet-wireless-network-card-tew664ub,63.99,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-726EC,https://pcpartpicker.com/product/DcJwrH/trendnet-wireless-network-card-tew726ec,,Wi-Fi 4,PCIe x1,
TRENDnet TEW-805UB,https://pcpartpicker.com/product/LwxfrH/trendnet-wireless-network-card-tew805ub,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Edimax EW-7711USN,https://pcpartpicker.com/product/ggkD4D/edimax-wireless-network-card-ew7711usn,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7722In,https://pcpartpicker.com/product/qFQypg/edimax-wireless-network-card-ew7722in,,Wi-Fi 4,PCI,
Edimax EW-7722UTn,https://pcpartpicker.com/product/mtPfrH/edimax-wireless-network-card-ew7722utn,,Wi-Fi 4,USB Type-A 2.0,
Edimax EW-7722PnD,https://pcpartpicker.com/product/FVMFf7/edimax-wireless-network-card-ew7722pnd,,Wi-Fi 4,PCIe x1,
Edimax EW-7722UnD,https://pcpartpicker.com/product/VNK7YJ/edimax-wireless-network-card-ew7722und,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HAWNU1,https://pcpartpicker.com/product/TMzv6h/hawking-technology-wireless-network-card-hawnu1,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HAWNU2,https://pcpartpicker.com/product/BqCwrH/hawking-technology-wireless-network-card-hawnu2,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HD45U,https://pcpartpicker.com/product/zPw323/hawking-technology-wireless-network-card-hd45u,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HWDN3,https://pcpartpicker.com/product/MMjG3C/hawking-technology-wireless-network-card-hwdn3,,Wi-Fi 4,USB Type-A 2.0,
Hawking Technology HWUN4,https://pcpartpicker.com/product/Zc9KHx/hawking-technology-wireless-network-card-hwun4,,Wi-Fi 4,USB Type-A 2.0,
IOGEAR GWU523,https://pcpartpicker.com/product/Qch9TW/iogear-wireless-network-card-gwu523,,Wi-Fi 3,USB Type-A 2.0,
Patriot PCBOWAU2-N,https://pcpartpicker.com/product/XQmLrH/patriot-wireless-network-card-pcbowau2n,,Wi-Fi 4,USB Type-A 2.0,
Rosewill RNX-G300EX,https://pcpartpicker.com/product/99V48d/rosewill-wireless-network-card-rnxg300ex,,Wi-Fi 3,PCI,
SIIG CN-WR0811-S1,https://pcpartpicker.com/product/HrZQzy/siig-wireless-network-card-cnwr0811s1,,Wi-Fi 4,PCIe x1,
TP-Link TL-WN721N,https://pcpartpicker.com/product/RWg323/tp-link-wireless-network-card-tlwn721n,,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1001,https://pcpartpicker.com/product/qRQypg/belkin-wireless-network-card-f9l1001,,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1002,https://pcpartpicker.com/product/s6kD4D/belkin-wireless-network-card-f9l1002,,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1103,https://pcpartpicker.com/product/cQXfrH/belkin-wireless-network-card-f9l1103,,Wi-Fi 4,USB Type-A 2.0,
Belkin F9L1109-OM,https://pcpartpicker.com/product/CB2kcf/belkin-wireless-network-card-f9l1109om,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Buffalo Technology WI-U2-300D,https://pcpartpicker.com/product/MqTmP6/buffalo-technology-wireless-network-card-wiu2300d,,Wi-Fi 4,USB Type-A 2.0,
Belkin F7D1102,https://pcpartpicker.com/product/Jg2kcf/belkin-f7d1102-usb-20-80211abgn-wi-fi-adapter-f7d1102,,Wi-Fi 4,USB Type-A 2.0,
Buffalo Technology WI-U2-433DM,https://pcpartpicker.com/product/wT6BD3/buffalo-technology-wireless-network-card-wiu2433dm,,Wi-Fi 5,USB Type-A 2.0,
Cisco AM10,https://pcpartpicker.com/product/c7zv6h/cisco-wireless-network-card-am10,,Wi-Fi 4,USB Type-A 2.0,
D-Link N69506,https://pcpartpicker.com/product/dYn2FT/d-link-wireless-network-card-n69506,,Wi-Fi 4,USB Type-A 2.0,
D-Link DWA-548,https://pcpartpicker.com/product/wXxfrH/d-link-wireless-network-card-pl1154,,Wi-Fi 4,PCIe x1,
Encore ENLWI-N3,https://pcpartpicker.com/product/PdsKHx/encore-wireless-network-card-enlwin3,,Wi-Fi 4,PCI,
Rosewill AC1200UBE,https://pcpartpicker.com/product/Zs9KHx/rosewill-wireless-network-card-ac1200ube,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
SIIG JU-WR0012-S1,https://pcpartpicker.com/product/jRQypg/siig-wireless-network-card-juwr0012s1,,Wi-Fi 4,USB Type-A 2.0,
SIIG JU-WR0212-S1,https://pcpartpicker.com/product/Bz2kcf/siig-wireless-network-card-juwr0212s1,,Wi-Fi 4,USB Type-A 2.0,
TRENDnet TEW-804UB,https://pcpartpicker.com/product/pz2kcf/trendnet-wireless-network-card-tew804ub,,Wi-Fi 5,USB Type-A 2.0,
SIIG JU-WR0112-S1,https://pcpartpicker.com/product/HYn2FT/siig-wireless-network-card-juwr0112s1,,Wi-Fi 4,USB Type-A 2.0,
Cisco AE3000,https://pcpartpicker.com/product/Jcdqqs/cisco-wireless-network-card-ae3000,,Wi-Fi 4,USB Type-A 2.0,
